soil_moisture_percent,temperature_c,humidity_percent,rainfall_mm,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_m_s,crop_type,crop_yield_ton_per_hectare,ldr_value
65.8,33.5,64.4,970.3,42.1,46.6,75.3,4.67,Groundnut,1.35,494
65.1,32.5,50.7,778.8,126.5,40.1,39.3,4.23,Maize,3.69,670
40.5,38.5,56.9,230.6,60.6,25.6,38.3,5.14,Bajra,1.42,602
78.8,23.9,68.4,1557.2,160.2,52.0,86.9,3.25,Rice,5.6,252
65.0,31.8,82.0,1212.2,147.5,49.8,56.9,1.1,Maize,4.08,263
67.1,26.3,81.8,1392.3,130.4,38.6,52.3,3.97,Maize,4.48,161
56.7,22.6,50.1,426.3,153.1,43.2,58.1,3.15,Wheat,5.37,679
55.6,21.2,45.3,712.3,133.8,46.7,40.5,4.8,Wheat,4.3,879
59.2,24.8,61.0,477.8,97.8,44.1,43.1,3.3,Wheat,3.97,507
69.3,27.7,75.2,1354.9,182.7,79.5,50.3,3.52,Rice,5.12,268
83.3,32.3,82.8,1466.9,156.6,35.2,87.7,1.73,Rice,5.88,376
48.9,22.9,66.3,912.5,111.9,49.2,43.5,3.82,Wheat,3.58,542
48.5,17.4,47.5,603.0,26.5,49.0,34.6,5.53,Chickpea,1.52,685
62.9,21.4,72.0,788.2,126.0,66.5,64.0,3.76,Maize,4.82,314
60.3,25.4,68.3,873.7,125.6,38.9,53.3,3.65,Maize,5.83,471
52.2,24.5,74.9,553.7,138.0,45.5,54.5,2.71,Maize,3.81,573
45.9,29.0,55.4,535.7,74.2,43.0,65.0,2.21,Cotton,3.01,410
49.4,27.5,87.6,955.9,41.5,55.9,77.0,3.85,Groundnut,1.93,253
46.9,17.8,41.7,247.8,28.1,55.6,27.7,5.22,Chickpea,1.7,451
65.7,17.3,74.7,787.9,116.5,49.5,45.7,4.85,Wheat,5.04,237
91.8,22.0,84.6,1603.9,133.0,47.9,75.0,0.5,Rice,4.71,0
52.1,23.1,74.9,1270.6,128.1,55.8,42.3,4.12,Maize,5.0,340
65.3,30.6,75.5,1424.3,154.4,54.5,39.8,0.5,Rice,5.59,158
82.7,28.4,75.2,1468.9,199.1,54.3,193.2,3.09,Sugarcane,10.04,393
76.6,25.6,86.2,2070.2,180.5,62.4,111.3,3.74,Rice,4.25,246
72.2,30.7,72.6,1667.8,197.3,52.3,70.0,4.86,Rice,5.48,318
51.1,14.0,65.2,390.3,136.2,48.9,66.7,5.05,Wheat,3.43,172
58.4,28.3,58.5,1190.9,148.4,41.2,50.7,3.47,Maize,4.98,429
37.5,25.9,56.1,807.6,103.7,44.5,67.7,4.32,Cotton,2.63,572
37.2,18.0,53.9,200.4,20.0,38.5,31.4,0.5,Chickpea,1.64,687
73.3,28.5,80.1,1258.4,172.7,36.7,54.3,4.98,Rice,5.75,104
79.4,34.0,82.1,1699.7,160.1,79.6,108.4,4.87,Rice,4.48,206
55.3,18.2,65.5,443.2,119.3,58.5,53.5,4.29,Wheat,4.71,401
72.4,31.1,77.8,2003.8,250.0,108.1,158.7,2.98,Sugarcane,11.58,151
74.9,24.4,80.1,1537.2,39.4,53.9,51.6,3.45,Soybean,1.22,475
83.9,30.1,83.4,1791.3,237.0,90.0,224.3,4.48,Sugarcane,9.8,138
75.6,27.8,78.9,802.3,183.1,41.9,94.4,3.31,Rice,4.37,399
75.2,31.2,88.8,1435.2,158.7,72.3,101.0,3.78,Rice,6.03,403
38.7,35.2,46.0,699.2,50.5,27.1,39.0,4.59,Jowar,1.52,577
55.9,21.4,74.9,475.5,131.8,53.5,40.5,4.07,Maize,4.26,458
61.3,25.7,63.8,1269.1,43.6,60.2,45.1,3.15,Soybean,2.28,478
60.2,22.6,71.4,850.9,160.3,42.8,39.9,5.83,Wheat,4.75,465
55.0,29.5,51.0,692.6,38.9,41.7,74.1,2.04,Groundnut,2.11,442
58.1,24.0,71.7,731.5,144.1,46.3,44.3,2.15,Wheat,3.94,479
55.2,22.3,53.0,229.7,27.4,45.1,35.5,4.09,Chickpea,1.45,883
47.4,32.3,55.3,741.3,66.2,32.5,20.0,4.9,Jowar,1.73,354
74.3,30.1,89.1,1652.6,200.8,53.3,68.8,1.67,Rice,5.6,376
45.5,24.7,64.8,571.6,29.3,44.0,48.2,3.13,Groundnut,2.0,560
69.2,29.3,77.2,1237.2,115.3,66.8,78.9,4.1,Rice,5.04,265
52.2,22.0,60.7,400.1,140.3,42.4,36.6,4.23,Wheat,4.13,905
38.0,38.3,29.3,422.5,57.6,23.6,32.7,6.26,Bajra,1.61,919
82.1,26.6,88.3,1531.1,189.8,33.5,86.4,2.8,Rice,5.63,73
69.7,27.1,81.2,1639.7,189.3,67.8,116.9,2.59,Rice,5.57,304
41.5,34.7,52.9,479.0,58.4,26.1,46.7,4.19,Jowar,1.71,733
58.8,24.7,66.3,495.7,41.0,67.2,54.4,4.34,Groundnut,1.79,510
68.4,32.2,70.2,1084.0,222.6,52.1,120.2,2.95,Rice,4.74,541
54.1,26.5,70.7,803.1,23.5,34.8,83.0,2.62,Groundnut,1.78,456
55.0,27.2,58.8,988.8,44.5,49.4,59.6,8.97,Soybean,2.37,639
40.1,25.7,52.3,493.9,62.3,32.3,42.5,1.94,Jowar,2.3,869
36.5,27.6,40.3,347.1,85.5,30.8,52.5,1.35,Jowar,2.3,639
56.3,23.8,58.0,390.3,149.5,45.1,39.5,3.83,Wheat,4.56,648
91.0,21.3,81.1,1248.0,159.9,38.0,92.5,5.07,Rice,3.95,264
50.6,16.2,63.6,303.8,33.9,48.7,38.5,1.24,Chickpea,1.8,605
41.3,27.4,46.5,249.4,28.9,41.9,66.3,1.28,Groundnut,1.75,531
66.7,25.4,70.9,826.1,120.8,52.4,53.3,4.02,Maize,6.15,372
81.0,29.5,83.6,1778.4,160.4,51.4,71.8,4.92,Rice,5.34,233
41.5,28.8,60.2,859.7,158.0,37.7,79.1,0.87,Cotton,2.66,680
52.2,17.6,55.0,271.6,61.9,39.8,59.6,1.52,Wheat,3.85,831
57.2,33.7,49.2,89.6,128.4,31.2,67.4,1.17,Cotton,1.84,509
64.3,25.4,61.2,700.5,37.4,45.7,63.3,1.42,Soybean,2.62,430
49.1,30.5,77.8,593.8,37.9,57.2,48.2,4.44,Groundnut,2.03,538
